trial_number,value,datetime_start,datetime_complete,param_Ore,param_WaterMill,param_WaterZumpf,param_PressureHC,param_DensityHC,param_MotorAmp,param_Shisti,param_Daiki,param_FE,param_PulpHC,param_PumpRPM
21,-49.981868743896484,2025-09-05 11:49:21.318625,2025-09-05 11:49:21.363944,194.2354271358004,17.790491207139226,170.879821772395,0.28686003702781987,1838.34896645466,205.23140966873817,3.8595733442333016,51.346839615785896,0.4662455835950557,444.9415021078293,952.8111923149314
22,-49.981868743896484,2025-09-05 11:49:21.363944,2025-09-05 11:49:21.407826,190.76714894875713,18.34857840544758,169.93794277156348,0.28090283404509375,1830.3782092034428,196.23157954197023,5.51438697299875,50.61305208852815,0.4435718179679009,430.9109721497402,932.2679241757917
23,-49.981868743896484,2025-09-05 11:49:21.409335,2025-09-05 11:49:21.454751,193.35317698041956,15.796545036143806,182.7172282981009,0.3331712127551302,1786.2499202303648,213.22538603470193,8.737940884041794,37.909920007897824,0.3514563353119966,481.0894537713633,884.8103326642323
24,-49.981868743896484,2025-09-05 11:49:21.455277,2025-09-05 11:49:21.500614,195.75183849606358,17.303606539800302,174.684586618533,0.30298876147429143,1859.9753646756278,195.74061118168373,11.615921116381921,51.69524773342962,0.5014823564923288,453.89078355096365,980.532032558802
25,-49.981868743896484,2025-09-05 11:49:21.500614,2025-09-05 11:49:21.548970,185.58303248940007,13.275099538115628,189.34313001874327,0.32127089916187096,1831.389675576098,202.913555049859,5.0211884789664945,45.97623982209531,0.3967731320672791,374.3637904769456,1018.0365410711497
26,-50.14358139038086,2025-09-05 11:49:21.548970,2025-09-05 11:49:21.593285,189.48348656778987,18.155973776858566,175.9910870281201,0.29689687820796984,1738.1402981076978,187.6272781188106,8.414539296520402,35.746838981180375,0.4561516983944038,418.82224235901793,1079.3329906026443
27,-51.05088424682617,2025-09-05 11:49:21.593285,2025-09-05 11:49:21.637622,193.38427393719405,15.926049144569511,181.9715414664736,0.3456132528992201,1685.3028657391333,182.4771782250344,6.4810516530565625,28.01902149221874,0.41487790900354715,437.52028823799577,955.4238717311412
28,-50.34718322753906,2025-09-05 11:49:21.639130,2025-09-05 11:49:21.683986,173.5106782714364,17.200486667070596,169.2530918359847,0.32194852052460887,1789.5176667500193,210.30147704408452,13.373478275551518,53.85081112135598,0.3120846816721761,401.7710173472508,846.0062587336298
29,-49.981868743896484,2025-09-05 11:49:21.683986,2025-09-05 11:49:21.729190,190.00766857381498,14.343744386042543,183.91776172636597,0.39087856708641433,1819.5693523737993,219.41800646159703,7.593054610092748,41.11166421696224,0.36595312403983893,502.3150022654219,908.5464958689824
30,-49.981868743896484,2025-09-05 11:49:21.730193,2025-09-05 11:49:21.775386,194.21468545087575,12.583360891415543,197.2004395292424,0.29432837187156036,1840.2502584342674,195.96165910905074,3.660707972837556,16.897623501047153,0.49774491433585166,526.8729752608087,1020.493750158661
