trial_number,value,state,datetime_start,datetime_complete,duration,param_Ore,param_WaterMill,param_WaterZumpf,param_PressureHC,param_DensityHC,param_MotorAmp,param_Shisti,param_Daiki
0,22.1381778717041,1,2025-08-26 15:12:19.265484,2025-08-26 15:12:19.268483,0.002999,169.1411250105912,12.385732414353946,173.0372052922636,0.4682074983858795,1689.4582619266992,215.57667687227166,0.2710143534466324,0.15596350953692342
1,27.210905075073242,1,2025-08-26 15:12:19.268483,2025-08-26 15:12:19.270985,0.002502,181.36205756233034,13.202824163121653,237.35451157208212,0.38896455957019105,1876.7516158328444,204.3297135547503,0.18413680314690944,0.21178983166878274
2,22.583375930786133,1,2025-08-26 15:12:19.271632,2025-08-26 15:12:19.275235,0.003603,189.5598331023138,6.994732746983215,194.27049887558664,0.30761230256315275,1633.3806616637053,206.29792250998935,0.05031793739420555,0.28080980618391604
3,27.83650779724121,1,2025-08-26 15:12:19.275753,2025-08-26 15:12:19.277807,0.002054,179.6500599779625,6.515472664107295,161.35438322580458,0.42860803771449674,1812.5004780089928,191.7882278739969,0.22294292304006252,0.2536031473205095
4,23.425128936767578,1,2025-08-26 15:12:19.278325,2025-08-26 15:12:19.280378,0.002053,187.73054114947868,9.034094080848199,166.1333223221119,0.3329409611996151,1734.9308439801684,200.4053267721338,0.18206859110126655,0.20087986325105345
5,28.141338348388672,1,2025-08-26 15:12:19.280894,2025-08-26 15:12:19.282954,0.00206,177.91826992410165,6.71745566506325,240.8312056801628,0.38976412737132776,1884.5341557477261,187.3529901314261,0.16585025345569993,0.3814214397321435
6,23.932395935058594,1,2025-08-26 15:12:19.283465,2025-08-26 15:12:19.285007,0.001542,198.4830975781294,8.22303882850685,177.23206671573712,0.3982098605585621,1692.8582407421268,191.17426525916832,0.1521184429772921,0.2795259638163003
7,28.00609016418457,1,2025-08-26 15:12:19.285529,2025-08-26 15:12:19.287549,0.00202,174.81406814825132,13.029423155123922,213.33280354947516,0.4719410498975619,1846.5838976805028,186.2088805470813,0.14021696295909836,0.37682063578715497
8,28.328916549682617,1,2025-08-26 15:12:19.287549,2025-08-26 15:12:19.289587,0.002038,172.8870283089892,16.729238381543276,186.09177690044515,0.4786535636215168,1838.714285454009,213.69833054815865,0.1582027235152934,0.10449243993611645
9,25.646541595458984,1,2025-08-26 15:12:19.289587,2025-08-26 15:12:19.291594,0.002007,184.91388895212873,18.1103594096535,230.52511728547805,0.3318430070358978,1742.6128709463073,190.435114803759,0.05084502912180951,0.3862667484306941
10,22.143205642700195,1,2025-08-26 15:12:19.292116,2025-08-26 15:12:19.319735,0.027619,161.22819227835012,11.016352706407229,211.70537042010073,0.4413076109593911,1606.1374920833548,217.37346817245046,0.299052498531998,0.1114076929052058
11,22.143205642700195,1,2025-08-26 15:12:19.320242,2025-08-26 15:12:19.347401,0.027159,160.39961916598173,10.877426134886997,211.99480991364797,0.44254774923679696,1600.921805314109,217.81844267210911,0.2995214733680351,0.10228244690508609
12,22.574016571044922,1,2025-08-26 15:12:19.347401,2025-08-26 15:12:19.374048,0.026647,161.91268927682202,15.53272328810941,197.01130337928151,0.49658062838374817,1666.509795911129,213.02872250661028,0.2971555643113329,0.15904555294967246
13,22.143205642700195,1,2025-08-26 15:12:19.374048,2025-08-26 15:12:19.399192,0.025144,167.7576736375048,11.162305248534304,220.74409628861383,0.4290363385205862,1683.2810619613424,219.42226376026213,0.252735210635737,0.15089851142158545
14,22.574016571044922,1,2025-08-26 15:12:19.400192,2025-08-26 15:12:19.425755,0.025563,167.79099440082547,14.704514947540261,178.10235869605413,0.45742501214135534,1601.7524689035595,210.02290539244694,0.2540157628616783,0.15378020193607667
