trial_number,value,datetime_start,datetime_complete,param_Ore,param_WaterMill,param_WaterZumpf,param_PressureHC,param_DensityHC,param_MotorAmp,param_Shisti,param_Daiki,param_PulpHC,param_PumpRPM,param_Class_15
0,20.67003059387207,2025-08-26 14:32:34.539001,2025-08-26 14:32:34.542015,183.5016532176381,17.922247280183235,189.2540828835626,0.5127413401324139,1621.3980852077475,229.7056644938066,23.574262774591414,47.4083396479978,519.4989908504854,853.0533168529332,1.6475959831678237
1,24.837081909179688,2025-08-26 14:32:34.542015,2025-08-26 14:32:34.545533,175.37360688749436,8.388947737675096,184.5760734806961,0.48707405242361146,1791.2858897837014,227.39039223561224,24.287052090644515,35.961689912185975,447.3110035042514,923.1064733919037,0.7499591662079185
2,20.71898078918457,2025-08-26 14:32:34.546036,2025-08-26 14:32:34.548553,193.24509104146384,17.258025933120418,224.29529650394556,0.36497351544608797,1578.2579803035358,210.4935334425177,18.501139632988007,18.089039136628692,527.7967049889935,778.0215794190691,1.8446178596841865
3,25.58039093017578,2025-08-26 14:32:34.549073,2025-08-26 14:32:34.551588,165.21577231800396,13.457016548442391,207.36528286707124,0.2814904476172522,1814.4184287305002,197.99888003970673,31.16628508141242,37.8866492391398,557.6502671069128,887.4642052466319,1.3039385559687957
4,25.449615478515625,2025-08-26 14:32:34.552588,2025-08-26 14:32:34.555649,179.8307771859073,8.76905363959446,217.81591967089332,0.4972459066894077,1802.7375588394086,199.7509561583991,30.412941409404855,45.85092045827537,514.9701776303496,824.3475045788782,1.8684304014077486
5,20.75424575805664,2025-08-26 14:32:34.556151,2025-08-26 14:32:34.557661,190.0957004002654,14.30387531865524,180.93136224736904,0.4640509588682885,1603.9166704850986,211.65255683312935,16.161843925669462,31.731107121111414,481.9920755714086,1050.691361265678,1.4268028980072105
6,21.67128562927246,2025-08-26 14:32:34.558666,2025-08-26 14:32:34.559666,174.72932295401665,17.193270612865014,187.55122085978996,0.3375621017366463,1565.6082304577465,173.53737592148332,14.8813857457456,30.813084134254666,559.1656947917138,1086.980299130315,2.2771992336570372
7,21.548551559448242,2025-08-26 14:32:34.561172,2025-08-26 14:32:34.562175,184.24489298043204,10.430303423213678,226.6001361254391,0.2956584176812695,1649.9627209065918,195.56756929297242,19.741612273030817,17.516418199808474,427.6665916966218,814.2690910490335,1.0791273874444305
8,26.699100494384766,2025-08-26 14:32:34.562175,2025-08-26 14:32:34.564737,174.91706592888366,9.60353501781765,219.14784917613235,0.5131232302342229,1824.875592378625,207.2855319577539,21.874509849090096,17.239670105136618,345.57205642796987,1054.6161543853955,1.8248546247397535
9,22.54808807373047,2025-08-26 14:32:34.565742,2025-08-26 14:32:34.567756,185.56047555594057,13.459978225916222,225.67736494660016,0.45363610055550335,1662.6993604411703,192.963104689559,26.845406141838946,24.502237526268438,505.21530995120554,1019.4720869890334,0.9845225274732863
