trial_number,value,state,datetime_start,datetime_complete,duration,param_Ore,param_WaterMill,param_WaterZumpf,param_PressureHC,param_DensityHC,param_MotorAmp,param_Shisti,param_Daiki,param_FE,param_PulpHC
0,22.860736846923828,1,2025-09-16 11:39:32.006117,2025-09-16 11:39:32.008624,0.002507,190.8583128338981,11.595823861277562,185.8060856860331,0.39803809450937083,1590.996090435904,231.74620557958406,21.61660901055904,54.46474137106062,0.5370213750863717,567.4369978863635
1,27.816205978393555,1,2025-09-16 11:39:32.008624,2025-09-16 11:39:32.011645,0.003021,178.58727493491259,17.167776134910092,230.88600585672725,0.3568237034314254,1823.4082980611486,229.93560307879517,23.408458429205968,32.02391424852326,0.12390696458920192,336.9835691644069
2,24.337297439575195,1,2025-09-16 11:39:32.011645,2025-09-16 11:39:32.013646,0.002001,184.3724738761319,14.818075013334553,204.04399302001414,0.5063494959958182,1731.2208487742716,214.61350277392313,24.154769156453973,26.29690105043536,0.48611644512590113,460.7876376060459
3,22.03826141357422,1,2025-09-16 11:39:32.013646,2025-09-16 11:39:32.015645,0.001999,179.12725443559933,17.29430048486583,220.2529516105648,0.37225401287633386,1656.2615534799463,214.67752418988772,28.777686813147664,33.375997716481294,0.25204855154780326,493.6760711174796
4,23.41481590270996,1,2025-09-16 11:39:32.015645,2025-09-16 11:39:32.018147,0.002502,185.23642465086812,11.515386635293014,236.70187150295632,0.3032581115915353,1623.2428177911115,168.10309024170957,13.197303432019046,28.607243918586207,0.5237981682064377,333.4265376886043
5,23.761859893798828,1,2025-09-16 11:39:32.018147,2025-09-16 11:39:32.021721,0.003574,179.2947673741835,8.300453788154005,218.6018792394574,0.42352852026598975,1679.5982600384475,189.46020346844284,13.866235118193302,39.757065848836135,0.22934781013463176,349.91910044945774
6,23.193187713623047,1,2025-09-16 11:39:32.021721,2025-09-16 11:39:32.024301,0.00258,188.30853117710552,15.852365897654446,235.97134115519282,0.4734984038817168,1708.7449314005441,209.62996928359428,12.993160848052993,49.52111850255753,0.5216145510850487,397.14043156440283
7,23.40488052368164,1,2025-09-16 11:39:32.024301,2025-09-16 11:39:32.026869,0.002568,177.20166909526162,15.2186013116199,237.33784810566306,0.5157896690394872,1550.9816031838732,171.18858546011708,11.972161526195759,23.945440408274365,0.12755886717685253,482.08892285110505
8,22.624773025512695,1,2025-09-16 11:39:32.026869,2025-09-16 11:39:32.028917,0.002048,193.2147693892964,8.347287968102217,231.19434391214503,0.39091201097258926,1595.160190056542,222.6462710284033,9.752344627310986,36.6269246534177,0.24085505088512943,511.93042220848406
9,23.433530807495117,1,2025-09-16 11:39:32.029429,2025-09-16 11:39:32.031980,0.002551,192.0785547987635,7.919736453880693,197.82936635290338,0.36715492115532444,1686.30257685401,184.932690594997,22.73480279572731,42.95590820260007,0.5222536286983317,495.5669964622741
10,26.751760482788086,1,2025-09-16 11:39:32.032508,2025-09-16 11:39:32.065549,0.033041,166.77285659682929,18.36958915192845,172.26668943774706,0.30759527777139684,1807.1295878752107,201.02854158274408,30.51127964904291,21.890008898021893,0.39146157697967465,415.9580743021885
11,22.00270652770996,1,2025-09-16 11:39:32.065549,2025-09-16 11:39:32.100291,0.034742,170.0279821501917,10.212527135810735,218.11773680820588,0.42253156293682365,1622.0539814929564,218.33585604652785,6.012180619810932,35.34239604512691,0.2792044422505202,530.6197103526767
12,21.51947021484375,1,2025-09-16 11:39:32.100291,2025-09-16 11:39:32.136786,0.036495,170.3368136650088,13.117110427380123,216.82213496557864,0.444168910822327,1642.6211777491965,214.62722608581504,4.358542356610251,44.51678176892832,0.33648589845706434,544.6326171558567
13,23.816753387451172,1,2025-09-16 11:39:32.137784,2025-09-16 11:39:32.171123,0.033339,169.2552358569432,13.17943989865504,213.4796404404563,0.4427983669598428,1738.1726886630245,206.6629819259811,4.183495236387174,45.887223422395046,0.3514095598904152,557.6884727825588
14,22.00270652770996,1,2025-09-16 11:39:32.171123,2025-09-16 11:39:32.205276,0.034153,171.91293561496968,9.862235388929571,207.89360648334988,0.4549126021069812,1636.9037767205361,217.14541460367067,4.999987797700428,16.93648657965261,0.33787313489778203,530.4936335759362
15,22.219717025756836,1,2025-09-16 11:39:32.205276,2025-09-16 11:39:32.240498,0.035222,164.00602392203496,13.331594656873841,223.44780966942957,0.4804773757668703,1542.1187314438112,196.53657221207118,7.773064956210673,39.95324771718546,0.421594454728118,534.3937865507278
16,24.60518455505371,1,2025-09-16 11:39:32.240550,2025-09-16 11:39:32.274790,0.03424,174.12620273457875,6.512371676336032,198.5262145423944,0.42954384396939027,1758.872726519856,223.53748677187315,17.81704224561087,48.560497583717414,0.1860569827598602,444.41185266854757
17,22.359909057617188,1,2025-09-16 11:39:32.274790,2025-09-16 11:39:32.307541,0.032751,172.91204352715215,10.315367304978569,188.30523648208597,0.32818803853571976,1597.3793807918921,205.2605727436923,7.012497485333537,36.67179573572988,0.2843916167618917,538.4367792538984
18,22.00270652770996,1,2025-09-16 11:39:32.307541,2025-09-16 11:39:32.340225,0.032684,168.4254511315521,10.198207235754403,212.08334306944468,0.4122803016247683,1653.1610236775225,224.6201077883028,17.345114332330677,54.565129402775405,0.4449469313215955,568.9510100195595
19,26.15733528137207,1,2025-09-16 11:39:32.340225,2025-09-16 11:39:32.372915,0.03269,164.12397962406212,13.727089314739587,226.35015107659464,0.4623714654121936,1772.3721154661578,195.01922114861844,9.262818089413331,43.54880161914936,0.33773152801057593,516.6615187084094
20,22.436389923095703,1,2025-09-16 11:39:32.372915,2025-09-16 11:39:32.406088,0.033173,175.56440137120845,11.945233865979688,214.37621403019455,0.49033938051944514,1574.7752288512409,218.76205174119215,4.084762059044152,31.105682452387903,0.18500519031498847,464.8233480590621
21,22.00270652770996,1,2025-09-16 11:39:32.406088,2025-09-16 11:39:32.439269,0.033181,171.86891681161546,10.077635249764079,207.00819041200998,0.4543033831321259,1639.5725356969187,213.86451744355384,5.937782240374267,15.390046999596585,0.32460086907540897,534.3305579753574
22,22.00270652770996,1,2025-09-16 11:39:32.440270,2025-09-16 11:39:32.473468,0.033198,170.7054114960467,9.586326427000484,204.86397971192318,0.43824388836362776,1633.5693011387298,219.18289569941956,3.772775185130722,17.656235065508397,0.3727583765094395,544.737447492081
23,22.00270652770996,1,2025-09-16 11:39:32.473468,2025-09-16 11:39:32.507657,0.034189,167.45883264844625,11.10208274888624,195.64562459968616,0.4118926550958647,1615.725172405345,210.73369379260492,10.411466376429269,21.60789913548379,0.286399892626807,521.0019318983068
