trial_number,value,datetime_start,datetime_complete,param_Ore,param_WaterMill,param_WaterZumpf,param_PressureHC,param_DensityHC,param_MotorAmp,param_Shisti,param_Daiki,param_PulpHC,param_PumpRPM
0,50.03120422363281,2025-08-21 09:57:31.367261,2025-08-21 09:57:31.379767,175.496879902306,12.55185216454125,205.0787539739162,0.5021628809023587,1610.8345677266639,208.27257417010117,5.419912384371708,47.87064126315258,373.21490011496235,942.7132550659296
1,49.37158203125,2025-08-21 09:57:31.381398,2025-08-21 09:57:31.387847,173.62904703903666,11.511361906142936,201.01250379460643,0.37998017667459316,1720.8074729982131,213.98827356186212,8.830730885282158,20.242294735034694,515.492336545053,966.4288053246555
2,50.25358581542969,2025-08-21 09:57:31.387847,2025-08-21 09:57:31.390941,173.27569704644137,18.20522372965059,190.21097446857328,0.5109865036752165,1559.3897687876376,220.05218424483564,10.921842492922721,38.46182664083156,368.8423959841696,801.1792858585741
3,49.62995147705078,2025-08-21 09:57:31.391459,2025-08-21 09:57:31.394491,192.43455702193663,18.35599907490295,174.81515246209804,0.4528085685850861,1805.5138349134224,231.75385724780352,25.362513301101323,51.000245270764346,347.2700231960057,966.4115860195694
4,48.173133850097656,2025-08-21 09:57:31.394491,2025-08-21 09:57:31.397550,186.36993868972388,9.746565457682669,212.98312717693113,0.3195889758986102,1740.7884035197922,201.85404931798968,28.818759006166168,20.154470900769162,509.17478934876965,962.3396173545734
5,49.568424224853516,2025-08-21 09:57:31.397550,2025-08-21 09:57:31.400556,191.96274796564504,11.019570646416208,199.9957236341574,0.48825562366029285,1845.5146963075904,205.02564272353592,11.045103161795044,43.22519582760255,557.0061380997065,757.074726447623
6,49.81892776489258,2025-08-21 09:57:31.400556,2025-08-21 09:57:31.403061,193.24303864981553,12.519605667065694,218.49178818507863,0.4093470889729771,1542.4761141017098,182.6312349903617,22.680684424822488,20.219453227338047,551.1859975265493,833.9625179900014
7,49.92673110961914,2025-08-21 09:57:31.403587,2025-08-21 09:57:31.404591,191.00265042930738,18.429119451515593,193.58234824803574,0.37826266569211037,1571.0067805963156,225.20026952231618,27.828343632024833,22.648082560956592,502.99870719453463,845.0634336490839
8,49.79387283325195,2025-08-21 09:57:31.406020,2025-08-21 09:57:31.407528,179.29665871660887,9.918264079461142,175.86281334378856,0.3741434723726794,1718.2251343521589,206.86363862586543,8.773942327740736,32.25473481643063,463.3484094644282,1130.2066953808653
9,50.085548400878906,2025-08-21 09:57:31.407528,2025-08-21 09:57:31.411034,173.16924618480758,11.40728976089237,172.13052708326381,0.4476764189789927,1790.2687306673408,226.5115644993561,21.23295529331565,21.2675940585506,565.6403889526392,834.6124821889691
10,48.611663818359375,2025-08-21 09:57:31.411034,2025-08-21 09:57:31.451292,164.1301820369053,15.625209838882771,240.01947962316729,0.29124708863442517,1647.9599702202943,180.7678495934227,15.863086304826464,35.05126659617149,408.3905491651695,753.8867189343898
11,50.184295654296875,2025-08-21 09:57:31.451292,2025-08-21 09:57:31.491057,168.33284543879032,7.051111255519432,186.2102146664737,0.4518810710332076,1791.399491421164,220.948781196102,18.291544632205024,32.34681257267137,420.0240586866619,852.3468508402312
12,50.86482620239258,2025-08-21 09:57:31.491057,2025-08-21 09:57:31.532382,167.10988732283047,6.908697555998753,190.11291428323744,0.5143772568331197,1665.6809088581062,217.27647842680992,15.9214993564187,35.660079040936054,416.7451096576814,886.2353249067836
13,50.86482620239258,2025-08-21 09:57:31.532382,2025-08-21 09:57:31.572097,168.10970349203706,6.892584180926639,186.52437442255157,0.5166098997549398,1639.9144617110219,191.74683650464448,14.035349532145244,40.013076800188216,333.7481717722657,908.0396661492655
14,50.86482620239258,2025-08-21 09:57:31.572599,2025-08-21 09:57:31.610280,164.1786932827994,6.5149861077984355,184.22217172999044,0.47647640651310963,1661.9618635512925,193.06257750373513,15.861944736058737,27.786565364201294,334.72486917809056,914.6351958942084
15,50.86482620239258,2025-08-21 09:57:31.611283,2025-08-21 09:57:31.653437,168.8856992314178,8.278679261643392,228.4391721997066,0.5145599411817082,1666.0653789026114,191.93628179748168,14.190787032080955,42.11760040681904,434.6160772293438,1060.3185661940036
16,50.03120422363281,2025-08-21 09:57:31.653970,2025-08-21 09:57:31.694647,183.33686165732647,8.262929640935342,180.53594838705632,0.47496846297051826,1610.3039638169785,169.52119482389594,4.011813747738355,44.43404774575406,394.24081222905676,904.2279018892254
