trial_number,value,datetime_start,datetime_complete,param_Ore,param_WaterMill,param_WaterZumpf,param_PressureHC,param_DensityHC,param_MotorAmp,param_Shisti,param_Daiki,param_FE,param_PulpHC,param_PumpRPM
0,51.05088424682617,2025-08-29 13:46:50.702688,2025-08-29 13:46:50.708719,194.2093521419863,7.775374551958512,192.0040338970765,0.42008391674631673,1661.3364600888476,186.87955418737985,26.885658642296228,45.42433850083549,0.47649055810589486,452.8304847865886,1068.389653072723
1,52.59370803833008,2025-08-29 13:46:50.708719,2025-08-29 13:46:50.712756,168.398944411178,10.326696415230694,223.95039679415078,0.34671652408834075,1647.1732045846895,221.40886960312116,13.269902263673018,20.049820529165963,0.20693863799798387,469.36211192936173,919.1201769351092
2,53.37460708618164,2025-08-29 13:46:50.712756,2025-08-29 13:46:50.714795,189.29091116623246,7.328398814348487,189.8696353272538,0.49556364213051013,1576.290382435597,213.91207975989818,15.229150574429855,51.90125910815804,0.07192754631739025,342.65948204213163,1149.32303465031
3,52.59370803833008,2025-08-29 13:46:50.715805,2025-08-29 13:46:50.717803,169.842219235113,17.666418342806036,203.23672781956574,0.3426474534031402,1656.020338280933,206.80198404156704,27.43756335961935,34.16669572809106,0.09438462008813119,437.083472772768,901.6967388490167
4,53.37460708618164,2025-08-29 13:46:50.718803,2025-08-29 13:46:50.720304,192.91541033622457,11.78090385466666,183.74289803273754,0.4356281556386218,1554.5832539088804,227.88529257267734,17.78048706568878,30.317639023345954,0.48205125926688425,528.5780630817424,1067.1669243334704
5,51.6126708984375,2025-08-29 13:46:50.720304,2025-08-29 13:46:50.723309,178.93446983373326,9.284832336128884,174.7923020992608,0.40080412990846015,1685.9466148753027,214.68940437964744,19.945193318181033,35.600271438183995,0.4284493057688289,344.8319005464021,1017.9408460020682
6,50.14358139038086,2025-08-29 13:46:50.723309,2025-08-29 13:46:50.725308,181.34732626481323,15.955943896192798,169.72533410532992,0.3542633032916398,1755.740203733054,227.76838115072923,12.948061484071195,42.37662506150417,0.5381787609486581,417.4502202753154,806.8206381327838
7,50.770721435546875,2025-08-29 13:46:50.726307,2025-08-29 13:46:50.728864,166.38562663340477,16.060631608767842,176.1879160164764,0.4891749335485397,1765.6173623078741,226.6199250441457,27.10143119856822,47.69799829678557,0.28289100513887055,487.31192716593387,1003.4636211562386
8,50.398719787597656,2025-08-29 13:46:50.729380,2025-08-29 13:46:50.730888,189.60749201017157,12.149912894757806,197.22229214157073,0.4829151315825171,1724.4055155771734,204.93086792914846,9.157766795293904,27.827835968464477,0.3494263483544352,504.4870980897998,928.890282884882
9,50.060997009277344,2025-08-29 13:46:50.731892,2025-08-29 13:46:50.732893,181.17408071014162,11.82661858079586,209.21604256169067,0.36552493745085085,1858.553583814094,230.31780922602678,30.202789595355434,19.68770837157663,0.4543421136138379,522.7640572147192,1124.721170790613
10,51.89591979980469,2025-08-29 13:46:50.734395,2025-08-29 13:46:50.776612,186.57097526244155,6.830206192084874,240.01332769533602,0.2807653076043364,1553.722921372592,168.28751015534988,4.406222900896726,53.89816338673839,0.07989756768091136,353.24100282307177,1141.383939214217
11,53.37460708618164,2025-08-29 13:46:50.776612,2025-08-29 13:46:50.817334,195.9639210078434,14.63248415177919,187.23595722336646,0.5193067765461089,1547.7463300098955,215.07817409002803,18.831639511992137,29.491466071857435,0.19456416425142842,567.4992939032481,1074.385287280268
