trial_number,value,datetime_start,datetime_complete,param_Ore,param_WaterMill,param_WaterZumpf,param_PressureHC,param_DensityHC,param_MotorAmp,param_Shisti,param_Daiki,param_PulpHC,param_PumpRPM
0,49.35067367553711,2025-08-21 09:57:53.781331,2025-08-21 09:57:53.783961,178.34644418703658,6.949818157897545,211.35160988825106,0.35568243529428584,1756.9168171362353,185.04051984883031,5.80963735726832,28.67112532944665,458.541414608442,893.6557615456062
1,49.92673110961914,2025-08-21 09:57:53.783961,2025-08-21 09:57:53.786462,188.76669646072662,17.555495845631732,239.28439390192744,0.4480534720691459,1668.0467355255046,215.53148225332188,31.211426240898327,39.28938332459508,410.7608799759563,924.9770297369587
2,49.92673110961914,2025-08-21 09:57:53.787465,2025-08-21 09:57:53.789522,179.97265466758287,17.22313338751309,237.74424447474678,0.3588907320141992,1644.5417472339955,202.6512312252525,31.105637125512466,52.47659901288872,462.771688358401,1131.9023687283698
3,49.864803314208984,2025-08-21 09:57:53.790527,2025-08-21 09:57:53.792543,193.1383976954755,10.659038147711144,176.2229140757578,0.3540299810109465,1636.2877935948259,201.93530052495396,31.23863963423919,35.181468781830574,397.5223657022657,791.0080790459108
4,47.85641098022461,2025-08-21 09:57:53.792543,2025-08-21 09:57:53.795557,178.46895411365708,14.92644757742732,191.4096100369355,0.29954969775474066,1851.063270744457,194.30845898331532,16.16574146519023,44.378432934107906,426.19003023462335,1105.3729132388453
5,49.997615814208984,2025-08-21 09:57:53.795557,2025-08-21 09:57:53.797557,184.9118246272781,13.458353930431642,183.38386085161883,0.4261395319131923,1641.3448424648006,195.63890298991686,8.784904744423145,34.86825235700195,524.0343413095984,1123.8597125898339
6,50.184295654296875,2025-08-21 09:57:53.798557,2025-08-21 09:57:53.800062,165.80488037056858,7.397733520332901,200.41724203019106,0.4843680462450237,1805.184977225759,170.26551828467203,15.373976140868846,36.02046138477016,337.2584018254687,1058.8387773993718
7,49.568424224853516,2025-08-21 09:57:53.801065,2025-08-21 09:57:53.802787,191.4243427960069,12.549941148721565,214.09743850775368,0.44203919363069677,1795.7572066502366,217.27815326353308,11.11721387915173,30.35875146639018,547.2262421526794,760.9882489781978
8,49.19281768798828,2025-08-21 09:57:53.803295,2025-08-21 09:57:53.805349,176.0117717590809,15.264496373301503,203.02233291795457,0.4050639794195764,1810.9147833058437,197.00995687055365,4.895551966488302,49.15799876004677,350.8244776642689,915.1336602251824
9,49.92673110961914,2025-08-21 09:57:53.805858,2025-08-21 09:57:53.807924,179.83814791474188,16.09484755797751,170.38053277611604,0.46494387036396273,1616.6592296953181,203.9656873624955,13.047413354188109,46.208760506919845,449.1830319416924,964.3430545893784
