trial_number,value,datetime_start,datetime_complete,param_Ore,param_WaterMill,param_WaterZumpf,param_PressureHC,param_DensityHC,param_MotorAmp,param_Shisti,param_Daiki,param_PulpHC,param_PumpRPM
0,49.35067367553711,2025-08-21 09:58:23.123857,2025-08-21 09:58:23.126655,183.3638221494044,7.83232679411357,184.69457215861678,0.38157945493459894,1857.7107395323476,184.02414907761317,18.545186601974137,22.918570318955553,489.1538613904884,826.3697583121705
1,49.85835266113281,2025-08-21 09:58:23.127187,2025-08-21 09:58:23.129274,184.586701630658,15.278222438402523,226.08118504587048,0.5138708498117671,1677.600078998124,193.14577086022504,16.06725880161331,29.09818224516804,478.96189849673715,968.5310265625664
2,49.19281768798828,2025-08-21 09:58:23.129792,2025-08-21 09:58:23.132375,190.20259501003432,15.40607360920412,195.1509262360495,0.5071308520493213,1844.757563868845,231.1554905479328,13.88291056384119,36.46385828479613,478.01294503078077,1024.680045565376
3,49.99155044555664,2025-08-21 09:58:23.132375,2025-08-21 09:58:23.134893,182.884418272094,18.23800647785268,232.00601635783144,0.39879292545303324,1553.4486735940334,208.27945366774156,4.293629122974652,25.18827119304131,538.0426976594081,1136.7222653514395
4,50.120269775390625,2025-08-21 09:58:23.134893,2025-08-21 09:58:23.137404,167.04120861801263,7.223785223437501,170.57121790845844,0.34671928181392886,1581.1313099046372,192.4927871928099,29.679352111908628,40.45748419808129,430.29260678231196,962.0619150528988
5,49.35067367553711,2025-08-21 09:58:23.137404,2025-08-21 09:58:23.139413,188.95387663629208,11.32111709294535,235.98477574319955,0.4667169021927108,1800.047245046183,214.10770097489717,5.169157215203199,16.708587712247347,420.86295281255286,1006.0368527658899
6,50.04368209838867,2025-08-21 09:58:23.140418,2025-08-21 09:58:23.142463,173.3996664262591,16.940817383109714,194.30954298688803,0.3676888235836653,1560.015710519294,206.49260820868287,27.749326296964284,33.5656591153079,556.2024348760315,1090.91218036467
7,50.0866813659668,2025-08-21 09:58:23.142966,2025-08-21 09:58:23.144982,164.7048985516873,14.042364907061923,238.1827455479428,0.33724208649936427,1633.3113098734962,179.57991311869455,28.688601261402347,40.22876285500078,520.8463678948526,943.1952277508426
8,48.87649917602539,2025-08-21 09:58:23.144982,2025-08-21 09:58:23.147506,169.11165810105493,10.413903092815818,239.54507249010405,0.2847766621304864,1830.241315284083,184.54732553039054,21.812792089064146,33.69657227591568,460.7357534786484,1084.0731295624673
9,50.76641845703125,2025-08-21 09:58:23.147506,2025-08-21 09:58:23.149577,164.10455676485603,13.072609235123677,228.35899953489087,0.43982108845780676,1551.3000757128298,182.64762531665747,18.96490063164608,24.000336707830805,360.1977366672683,1005.5194923588106
10,49.25226593017578,2025-08-21 09:58:23.150093,2025-08-21 09:58:23.187165,173.94282541081728,12.775065525947776,214.33491353481983,0.44650367907298655,1753.8499177391773,169.07804728880657,10.171099725569785,51.66583926697916,340.45063521013884,851.2130535773678
11,50.86482620239258,2025-08-21 09:58:23.187679,2025-08-21 09:58:23.227619,164.3034984678031,7.764082315573248,173.41777570698474,0.4333778238895318,1613.4278776364104,196.28930028448696,31.1293917407696,45.88284340850107,387.3307702504149,903.4223919371972
12,50.09729766845703,2025-08-21 09:58:23.228132,2025-08-21 09:58:23.269256,173.39214082313055,9.89187452834343,215.1682386354376,0.4397400076825883,1632.2914967865077,168.67550164324715,23.07759906737365,49.30159344615938,368.2519503214233,887.3990435323581
13,50.86482620239258,2025-08-21 09:58:23.269256,2025-08-21 09:58:23.307843,164.080737846757,8.941697247465026,169.66975366115955,0.4256558188862238,1614.5192767257763,197.93915772527606,24.53773459973076,46.78720905276398,383.4757760668003,767.9143749932222
14,50.03120422363281,2025-08-21 09:58:23.307843,2025-08-21 09:58:23.346248,194.834092516667,8.54701295453051,170.53088498328123,0.47502221072744544,1623.1619206550236,220.34736033565537,25.13085880079911,45.385077974801355,407.12459781555197,756.5863595238588
15,50.35213088989258,2025-08-21 09:58:23.347248,2025-08-21 09:58:23.387247,170.26651283101776,6.720069639819839,181.4246560529688,0.41477144779814473,1696.0374312325491,198.29454069050095,30.347449129737,54.75137631964879,392.2070035707619,755.3659539143376
16,50.03120422363281,2025-08-21 09:58:23.388751,2025-08-21 09:58:23.426125,175.82555970453154,8.7677550212267,180.8246992361215,0.4137548728428263,1601.1507815265436,201.59422228706796,25.592861281358246,44.80589778531684,380.25262449189574,819.6266347321092
