trial_number,value,datetime_start,datetime_complete,param_Ore,param_WaterMill,param_WaterZumpf,param_PressureHC,param_DensityHC,param_MotorAmp,param_Shisti,param_Daiki
0,50.120269775390625,2025-08-20 15:43:27.717666,2025-08-20 15:43:27.721722,166.8572333966243,9.248327220951902,198.1173512857206,0.33701984359034864,1596.0880959941182,174.59456506842287,0.4496256486421336,0.2617953537781149
1,50.86482620239258,2025-08-20 15:43:27.722720,2025-08-20 15:43:27.724231,164.6095214188697,7.708330138024633,237.72317168195832,0.4724698664583893,1612.1417488784668,197.36530711523682,0.371355266009725,0.31707618868872234
2,49.95676040649414,2025-08-20 15:43:27.725736,2025-08-20 15:43:27.727247,195.80181608525632,6.221118198926208,176.78004006691893,0.38847667456676693,1677.0622914631358,185.36254256964824,0.28949562466515916,0.030320036028986926
3,47.923622131347656,2025-08-20 15:43:27.727773,2025-08-20 15:43:27.729786,178.5245039483441,14.976045783993149,217.88273040010142,0.21731200941263382,1866.2118444721336,171.47401485836917,0.11054273780917123,0.09477077686337708
4,49.952491760253906,2025-08-20 15:43:27.729786,2025-08-20 15:43:27.732298,162.22526394270602,15.798319679581015,248.74407185167632,0.40300414810845187,1779.6163265912921,206.33443301244745,0.42236394374208025,0.47061959938867054
5,49.60614013671875,2025-08-20 15:43:27.732298,2025-08-20 15:43:27.734309,167.43666310535818,12.102351074280389,199.708149993701,0.3905270783348279,1800.751582012638,215.75329670593817,0.051721955355919016,0.07765688032507288
6,48.45191192626953,2025-08-20 15:43:27.734309,2025-08-20 15:43:27.736341,196.4641359270032,19.16463251552273,209.07994256457079,0.2374304163507438,1554.0810055136808,195.1864105491168,0.27258101137375224,0.2438629519526275
7,48.52053451538086,2025-08-20 15:43:27.738057,2025-08-20 15:43:27.740281,176.3328754777603,5.948448799637742,221.83533419818917,0.2016658562119406,1735.8262596403536,189.83305343832103,0.1324956736065128,0.38852335481727446
8,50.08588790893555,2025-08-20 15:43:27.740281,2025-08-20 15:43:27.742338,164.1941026754295,14.313317929807294,202.00728592835077,0.45576879697865685,1783.927428299105,177.00735311051952,0.4883660445129085,0.47059488861074344
9,50.69247055053711,2025-08-20 15:43:27.743345,2025-08-20 15:43:27.745344,171.45119812095768,18.920407233406415,211.49440514875374,0.42149652956445594,1533.2395285983282,191.8275648433234,0.04064658644178863,0.46598351825789724
10,50.03120422363281,2025-08-20 15:43:27.746343,2025-08-20 15:43:27.778211,188.31540907390857,10.382461045803772,245.99599051755848,0.4939241584784131,1658.0702537566274,204.77240717021405,0.3604081352554712,0.28481965116514185
11,50.69247055053711,2025-08-20 15:43:27.778211,2025-08-20 15:43:27.811230,172.4588322786624,24.874704408956653,233.3181824526415,0.45529861819588097,1521.4016464122637,198.9660606532481,0.1937991802225566,0.3652805664619602
12,48.818546295166016,2025-08-20 15:43:27.812234,2025-08-20 15:43:27.846302,172.35123357496565,20.54516639074336,181.52280572975516,0.3127747816852681,1603.514833364655,184.5196240389835,0.3644261304493877,0.3632021206083967
13,49.92673110961914,2025-08-20 15:43:27.846302,2025-08-20 15:43:27.880118,184.89820855221143,19.448562971335562,234.47383822486628,0.44128695882065994,1619.186582262115,202.75282931226198,0.20851927854876884,0.18156772342709004
14,50.69247055053711,2025-08-20 15:43:27.880118,2025-08-20 15:43:27.912014,170.20544793988032,23.234952571442793,230.07830633952574,0.49942827036585385,1506.1254388770396,216.9929500726845,0.03300659267875253,0.4978504770854671
15,50.69247055053711,2025-08-20 15:43:27.912014,2025-08-20 15:43:27.946272,160.7114974038389,17.742801326100295,188.97351785656537,0.42484116610848266,1566.1898270181077,190.45814543028428,0.3518177412449426,0.3247453535042638
16,49.03322982788086,2025-08-20 15:43:27.946272,2025-08-20 15:43:27.981351,182.8744180156198,8.54085571799072,216.40259872522074,0.3079164476480904,1628.2331140984488,210.16478317658533,0.19483402034587732,0.4363074575434035
17,50.03120422363281,2025-08-20 15:43:27.981351,2025-08-20 15:43:28.013370,176.70063627161537,12.209031091214833,239.7853839382283,0.4750950791661543,1564.305082436533,181.91179755298904,0.30909072389416,0.18254967841371172
18,49.37433624267578,2025-08-20 15:43:28.014372,2025-08-20 15:43:28.049213,166.83246987441598,16.767409988841724,223.41974782687475,0.36250436748617915,1714.868775069977,196.3491315308792,0.09770426633789295,0.4165044787155798
19,50.25358581542969,2025-08-20 15:43:28.049213,2025-08-20 15:43:28.083507,173.2145911629791,22.51694317980538,210.04599840777425,0.4281172733395773,1653.4786313938373,190.3049888285709,0.4100319357514137,0.31937105439129704
20,50.28667068481445,2025-08-20 15:43:28.083507,2025-08-20 15:43:28.114632,169.03605930070609,12.368554087398657,170.3318992134242,0.3588205610577124,1527.9757054652137,199.99765349883867,0.24190513525792312,0.19925481427361202
21,50.69247055053711,2025-08-20 15:43:28.115637,2025-08-20 15:43:28.147979,172.31966785227326,24.417306723157,230.01383003762606,0.4626365494442194,1501.8269768578366,197.6567411954086,0.16838317353198962,0.3562342559312215
22,50.69247055053711,2025-08-20 15:43:28.147979,2025-08-20 15:43:28.181518,164.21692039282237,21.305769676357798,237.680644952896,0.4182439776529815,1546.2813181069876,210.7112521602878,0.07050166074510618,0.4098230134982791
