trial_number,value,datetime_start,datetime_complete,param_Ore,param_WaterMill,param_WaterZumpf,param_PressureHC,param_DensityHC,param_MotorAmp,param_Shisti,param_Daiki,param_PulpHC,param_PumpRPM,param_Class_15
0,26.111581802368164,2025-08-26 11:37:03.789305,2025-08-26 11:37:03.791994,176.91680848962645,11.493333545017368,169.96798768502805,0.33233344240162527,1835.9121699999419,218.01005855725194,20.041651919833253,21.248975527757743,419.10556280171517,1045.975266222099,1.0744873818228653
1,21.06431770324707,2025-08-26 11:37:03.791994,2025-08-26 11:37:03.794574,174.69855236787254,17.997371596011337,202.81196736493678,0.485739406086368,1702.5313581131365,211.15761268654302,12.904498579129015,36.20685596354649,349.7799979980627,1070.2936354399017,1.6500148738961693
2,20.470739364624023,2025-08-26 11:37:03.794574,2025-08-26 11:37:03.797146,169.25336126507887,7.663616351170189,223.90249434523955,0.40139836767195863,1615.05909073476,202.35850444631217,13.426750928796041,29.557538827974604,440.76619910575357,1091.4411302498736,2.094173599037973
3,21.815868377685547,2025-08-26 11:37:03.797146,2025-08-26 11:37:03.799655,168.1952617270489,10.870309493437532,172.66645754849955,0.3451618274142781,1725.1765288553172,224.1579099100511,13.198756672581721,38.23098759308928,364.2099598657011,1109.8349103306182,1.5075668014271817
4,20.787797927856445,2025-08-26 11:37:03.800693,2025-08-26 11:37:03.803757,170.0788846162692,17.843283714360837,210.61163715636593,0.4753444015795232,1687.0379209798014,217.83106904903406,25.027322951712716,43.07570459957333,425.848228021556,914.4385186509958,0.7186405290946716
5,25.0507755279541,2025-08-26 11:37:03.803757,2025-08-26 11:37:03.806303,164.2495755304212,18.13791424696751,180.16497999793125,0.3498118462788229,1758.908700301656,181.46426644217848,20.354110171966955,45.87999817237362,495.04079856805185,1060.9184653739333,0.7027865656992389
6,21.76295280456543,2025-08-26 11:37:03.807308,2025-08-26 11:37:03.809822,166.0720656845561,9.304534552707441,234.11972579786217,0.4158681013482075,1695.2089700828246,170.01432737670643,29.84404916061252,38.02346306127704,428.4099272963184,1103.513083870607,1.853740805030333
7,24.820247650146484,2025-08-26 11:37:03.809822,2025-08-26 11:37:03.812976,183.31228227957047,14.926369881436338,234.51677964899366,0.4304658377286681,1765.87356084858,229.73738134617338,23.923215745445127,22.45351654613064,542.1156228371327,935.4439189826927,0.8034942441690006
8,24.792261123657227,2025-08-26 11:37:03.812976,2025-08-26 11:37:03.815561,174.0335548531846,17.598596306859527,181.77522703136268,0.39516581234418563,1753.9732411320415,178.84867397826505,29.23831358589555,23.469464570679825,508.9232195822872,877.7343128204247,2.0827543373840887
9,25.36504364013672,2025-08-26 11:37:03.816076,2025-08-26 11:37:03.818137,164.7371628198917,8.730339870967857,179.31734662628168,0.32834521507925657,1776.8496880466405,183.12975982624116,28.903477058838888,38.7094749138258,513.3342016747788,960.3982400138736,1.3941363234968345
10,27.47979164123535,2025-08-26 11:37:03.818650,2025-08-26 11:37:03.864319,193.52814157365123,14.019233733048022,198.9923645929038,0.2972510123087291,1859.0764050401506,197.7046163507058,5.283317967349946,54.341924165585226,381.72928338723153,757.2871878660878,1.1229050404502046
11,26.817909240722656,2025-08-26 11:37:03.865326,2025-08-26 11:37:03.913308,195.20849265627123,13.496423607871085,196.01902506755917,0.2821357604399785,1855.1748831987154,196.50533279874384,3.9316718535236452,54.97239306133808,385.6736815518063,763.4435076883249,1.1344411318707055
12,27.47979164123535,2025-08-26 11:37:03.913308,2025-08-26 11:37:03.959197,195.18623310856825,13.986372653805367,196.5541941865778,0.28039943539217366,1854.0244878106244,195.89774108533243,3.562360927840103,53.90666118286386,384.27007483108673,757.2159846926172,1.1846141746701253
13,28.38368797302246,2025-08-26 11:37:03.959197,2025-08-26 11:37:04.004812,195.26544724089203,14.738902792942717,193.3137668825417,0.2848937724520687,1826.2441853471635,194.32354077833944,3.9397220484847875,54.03711823996517,331.21638679629496,753.5600553699579,1.1787358066827842
14,27.294923782348633,2025-08-26 11:37:04.004812,2025-08-26 11:37:04.050697,189.03911377573394,15.797228564122786,208.0812679902324,0.30747273387631374,1802.6806675235725,202.4813183321274,8.11443912887386,48.96004603597705,334.0748172471414,822.5764788103745,0.9663784041065862
15,22.598814010620117,2025-08-26 11:37:04.050697,2025-08-26 11:37:04.096108,189.13896597969944,15.820097122158456,190.5312710386933,0.38169409672883553,1547.7300050879483,192.08625582330308,8.019617182030053,50.14182431840796,377.5561746048249,819.2284794798536,1.289437261882275
16,27.704845428466797,2025-08-26 11:37:04.096108,2025-08-26 11:37:04.141040,189.64144437684462,12.577277454416233,219.3359132264061,0.29852215251378444,1813.0855741627697,189.48423227415714,7.955472576661851,31.41196637269852,337.66412737329995,807.7466984139006,1.600790644556485
17,25.703046798706055,2025-08-26 11:37:04.142043,2025-08-26 11:37:04.186467,184.54952904260762,12.330367646662532,216.9472918102552,0.3699367878802108,1810.464998614552,208.18265143411242,9.327037533298835,29.816687368613685,465.14791154520697,828.5562538084187,1.6753137166018666
18,27.424636840820312,2025-08-26 11:37:04.187474,2025-08-26 11:37:04.231795,189.33084528423294,10.506743505544815,225.76150888916905,0.5165717396156553,1806.7110228079923,187.26430629484742,10.272735185804848,16.89610491656839,330.4318770635476,981.5845859430165,1.8586922926030909
19,21.6644229888916,2025-08-26 11:37:04.232300,2025-08-26 11:37:04.276173,191.41673960395187,12.460324949388596,215.76933480061544,0.3097376546780569,1631.4367702967731,170.75453576996824,17.563009352089352,32.75883370572928,411.5414521608262,868.8460910899604,2.2826345731833415
20,24.2665958404541,2025-08-26 11:37:04.277180,2025-08-26 11:37:04.321637,184.0144689796456,16.586416785502088,190.5943247474634,0.35945470456889184,1730.3945783157565,187.79634480790304,6.590149086563788,27.548973838802628,461.88953836979925,796.145972233667,1.4780236415816523
21,28.47880744934082,2025-08-26 11:37:04.321637,2025-08-26 11:37:04.367924,193.11587145771188,13.987642615283248,202.01634216595644,0.30443058279861157,1827.8191549103442,191.30086315288796,5.578571155545071,42.68528578160863,358.55330208585644,784.3545378751801,0.9255324601031536
22,27.763805389404297,2025-08-26 11:37:04.367924,2025-08-26 11:37:04.414432,191.1605691860069,13.326846610979203,215.58085521542765,0.3143525061907777,1821.1544560076015,189.58502937681567,11.219812080431385,42.94384499085787,351.21885373492444,869.5254366641735,0.9457718927969017
