trial_number,value,datetime_start,datetime_complete,param_Ore,param_WaterMill,param_WaterZumpf,param_PressureHC,param_DensityHC,param_MotorAmp,param_Shisti,param_Daiki,param_PulpHC,param_PumpRPM
0,47.73308181762695,2025-08-21 10:34:41.303368,2025-08-21 10:34:41.315508,165.3906286944769,17.922642702272892,185.89238629109343,0.32480099368127474,1690.3966949211847,212.43111724963356,29.99099772232021,53.3266582937297,351.1252613146946,978.7918851584031
1,49.41403579711914,2025-08-21 10:34:41.316884,2025-08-21 10:34:41.324713,176.77091110573485,17.05734304900587,240.4939839286149,0.4377667004773942,1685.956499307409,216.26674870242704,20.789311054523612,31.58108835065849,487.9286748307185,975.6319224019445
2,49.35067367553711,2025-08-21 10:34:41.325265,2025-08-21 10:34:41.328812,181.3159194761635,9.41450979391769,225.20990065243348,0.5192217131665046,1858.125864387836,195.54547033064193,20.09466729501956,22.432503632105846,531.344804337894,863.9995848069325
3,47.606727600097656,2025-08-21 10:34:41.328812,2025-08-21 10:34:41.331810,188.0854825868326,15.444806154285216,203.52655334973412,0.3245472776460846,1787.7290317273503,187.62839152211995,14.890811653793929,37.44723808317762,498.5878533076244,1101.396495587123
4,49.74541091918945,2025-08-21 10:34:41.331810,2025-08-21 10:34:41.334315,173.2638001611482,11.378326263910578,201.43321032909722,0.4228250897050937,1859.3678351958363,213.5553440390508,30.49105035896459,50.17809519240254,483.4127970173932,1144.7047718627082
5,50.03120422363281,2025-08-21 10:34:41.334315,2025-08-21 10:34:41.336825,188.52850949133608,10.498505744836667,228.73178377638814,0.42208594817428663,1597.8998201432655,201.49725012770452,7.792370167631303,37.906997801102264,496.6678111578631,888.327658301739
6,48.4824104309082,2025-08-21 10:34:41.336825,2025-08-21 10:34:41.339333,191.75048916409105,12.511351067027224,180.34365649864407,0.34023539812810316,1652.2005413397815,180.63326928239852,4.953232182018664,47.81840140125516,432.53033444442787,1000.8342174386754
7,49.38919448852539,2025-08-21 10:34:41.339333,2025-08-21 10:34:41.342371,178.57224228660402,8.129107364234743,231.26565403440148,0.3089843495444548,1647.8797638445046,229.90781014835778,23.128291264951006,49.70427315342546,384.3327655013046,971.6456112593829
8,50.03120422363281,2025-08-21 10:34:41.342371,2025-08-21 10:34:41.344876,182.80756483847745,9.653113544589125,182.75177156444272,0.37949690615172016,1645.259514530463,170.88829407745047,24.006513004032676,49.43316362060087,379.81210618514115,1101.22044759497
9,49.804649353027344,2025-08-21 10:34:41.344876,2025-08-21 10:34:41.347387,179.9072422763946,10.98714067672975,225.16215930469264,0.49970019189792614,1662.8449322097108,171.57861082337826,4.843387630752378,53.755415029829805,564.8190282554693,774.1103130494919
10,49.932796478271484,2025-08-21 10:34:41.347387,2025-08-21 10:34:41.387133,194.86863372066964,14.13805298561267,214.2263778791046,0.46760797867920484,1553.028989425333,201.90911337553098,10.845317817231951,37.819699545726245,435.2028222544248,869.5691794369366
11,50.03120422363281,2025-08-21 10:34:41.387133,2025-08-21 10:34:41.427191,186.32046053226287,7.1127986198063,171.02337961639205,0.3781651481094857,1575.7808475851227,171.24964735904024,24.552849925014296,42.234609263975045,399.7295796184293,1063.826692688324
12,50.03120422363281,2025-08-21 10:34:41.427693,2025-08-21 10:34:41.468023,185.04809638536724,9.640048963847871,192.44780583040406,0.38005874337974344,1606.1847847922045,193.76515539445063,12.773400678116007,27.97879921716414,330.27932649155554,883.2456349156403
