trial_number,value,datetime_start,datetime_complete,param_Ore,param_WaterMill,param_WaterZumpf,param_PressureHC,param_DensityHC,param_MotorAmp,param_Shisti,param_Daiki,param_PulpHC,param_PumpRPM
0,49.952491760253906,2025-08-21 08:37:37.152903,2025-08-21 08:37:37.164071,170.0090381238968,18.381205956129655,235.46251876328358,0.46248279927883407,1790.2975856438575,180.67055791294493,21.44439559227853,24.892792983559097,366.1711841705125,1104.6816324760955
1,49.99155044555664,2025-08-21 08:37:37.165422,2025-08-21 08:37:37.167991,182.93030235189735,18.18495186976833,233.47700892780725,0.49829859922253317,1585.4224713018655,204.3245872375843,26.123367737111153,40.75606351759964,532.0104584316841,853.8756081123865
2,48.31365966796875,2025-08-21 08:37:37.167991,2025-08-21 08:37:37.170591,177.55878333754123,17.207199825346052,192.72083947479663,0.33107754205340273,1606.0987689554104,221.78372845470332,25.108895233000684,17.203006209683327,438.28821270361857,1109.116940102736
3,49.18675231933594,2025-08-21 08:37:37.171597,2025-08-21 08:37:37.174106,194.76194484697302,18.452832404178363,232.16670664894718,0.423785327811748,1834.749721449172,180.56661654477995,6.362147788854491,30.22927830862212,384.4710080628179,1141.8304904883169
4,49.932796478271484,2025-08-21 08:37:37.174609,2025-08-21 08:37:37.177615,175.878696110447,14.145788000342982,206.59609931206757,0.37250120914045187,1621.5297294650982,213.65326063914674,8.671110661670438,39.87098534564555,478.50276005433494,796.7910021288787
5,47.96828079223633,2025-08-21 08:37:37.177615,2025-08-21 08:37:37.180153,195.39698837100627,12.603274539184763,235.0077526629681,0.34367959546192034,1713.4262772267846,203.24635410483128,23.329801408462142,39.16657223673553,447.4180960661394,1137.298052179381
6,49.95676040649414,2025-08-21 08:37:37.181158,2025-08-21 08:37:37.183156,187.56315005769608,12.621995961827126,220.48405222155534,0.4416796727012538,1682.15471305648,191.7352305454296,22.15527059825454,31.250475814572116,377.72958810169143,965.4320911059266
7,50.184295654296875,2025-08-21 08:37:37.183156,2025-08-21 08:37:37.186668,168.93060710420232,9.787201664689967,203.6326362480153,0.423196136230922,1708.2506316751258,202.2436851063086,11.559395959986896,19.3637391875127,407.589871375764,1035.6101350764031
8,49.18675231933594,2025-08-21 08:37:37.186668,2025-08-21 08:37:37.188177,185.49359392768463,16.188970572925953,183.15855034664148,0.4031556624340987,1788.3205663219733,182.2514893356565,26.760203664083555,33.730403362147094,370.3630058130236,1067.6899192820138
9,50.188262939453125,2025-08-21 08:37:37.188177,2025-08-21 08:37:37.190686,166.0870004134628,14.892925242440086,173.70683504767325,0.3796681226718763,1594.30505255957,217.38814592380083,17.521595785850906,29.52382060341813,448.9931169276538,813.641273260654
10,49.685890197753906,2025-08-21 08:37:37.191686,2025-08-21 08:37:37.228721,165.9073458226708,6.765153564611072,169.9634691369715,0.2871052453118716,1549.0124706413267,229.68419561877295,15.644720775374076,53.16696322310585,569.9258680127487,764.4230714155136
11,49.77397537231445,2025-08-21 08:37:37.228721,2025-08-21 08:37:37.266882,164.254756879133,9.10141393005484,203.92439993631083,0.3757423836826853,1693.2724130327308,212.85393988245553,12.6569522239141,15.899760779823488,417.0663646817812,984.6917005766101
12,50.425941467285156,2025-08-21 08:37:37.267886,2025-08-21 08:37:37.307261,172.80589467993397,9.798937765717456,169.86892175954992,0.4655203348059048,1658.4756335521129,194.78246323909008,31.409466018442313,23.574582305156106,485.41008090375766,885.826530987172
13,50.32753372192383,2025-08-21 08:37:37.307261,2025-08-21 08:37:37.346699,172.65483616803576,14.885343027511862,170.5533161805254,0.5138382498454446,1639.8202805666701,168.1989561872461,29.783944823663024,24.762321190941144,488.21384627458195,852.4678590990758
14,50.425941467285156,2025-08-21 08:37:37.347203,2025-08-21 08:37:37.384439,173.04285129109766,10.407201999366206,179.60134385668863,0.5105240597997536,1656.0923227101316,168.82832936232595,31.38365459019982,23.17456428793338,496.5065524744891,894.195324881691
