trial_number,value,datetime_start,datetime_complete,param_Ore,param_WaterMill,param_WaterZumpf,param_PressureHC,param_DensityHC,param_MotorAmp,param_Shisti,param_Daiki,param_PulpHC,param_Class_15,param_PumpRPM
0,-0.3858333230018616,2025-08-28 15:54:27.596686,2025-08-28 15:54:27.599721,171.7998844526838,15.143182291538213,225.21376289166136,0.4520968145037919,1692.838757962032,182.86313505082927,5.262089422355938,28.480269873068348,497.21929763526333,1.9002745695934855,1138.4104818525025
1,-0.38312828540802,2025-08-28 15:54:27.599721,2025-08-28 15:54:27.601228,194.54758052492244,14.065655156371927,237.24780026940408,0.3604804747900796,1607.9654007329082,231.0935028148115,20.424134291449096,34.268629478574155,442.05655681506846,1.8695657966882273,997.7866981910729
2,-0.3858333230018616,2025-08-28 15:54:27.602733,2025-08-28 15:54:27.604814,195.09369301449607,13.442885453107879,220.6647468306631,0.2963716175340886,1623.6131072295568,177.65588345009775,17.1897002426132,51.8755168904292,492.7769461810269,2.225053188725293,766.0131819577558
3,-0.3858333230018616,2025-08-28 15:54:27.604814,2025-08-28 15:54:27.607321,187.78265234809777,7.070436370069038,193.0525603746153,0.3548975407008968,1825.6345278992542,225.01678061109035,24.78053934327376,32.68413130738719,489.21349901700944,0.7213357518909118,822.6453799805694
4,-0.38600626587867737,2025-08-28 15:54:27.607321,2025-08-28 15:54:27.609321,190.3979724687294,14.6152470682934,225.02483594291868,0.4198543688346523,1813.3218232774975,230.77638886955893,25.95742287559089,41.84886455089135,504.9266591299107,2.0826801930847934,965.3120036496989
5,-0.3736007511615753,2025-08-28 15:54:27.609321,2025-08-28 15:54:27.610824,191.7106727177939,11.444345920014065,220.55006024901257,0.39278478357075053,1602.0179671072958,211.22297572221524,8.998296993692303,35.36600550648892,367.4110834210651,0.9939962113914376,828.2134196106925
6,-0.38475552201271057,2025-08-28 15:54:27.611828,2025-08-28 15:54:27.613422,181.13429615632,7.436118061791332,218.03452790575463,0.31773418018903804,1780.38347413207,191.76367947636942,18.694464322746,45.64999287776747,463.40490767733127,2.0452606336946566,900.6914047606507
7,-0.3854960799217224,2025-08-28 15:54:27.613422,2025-08-28 15:54:27.615931,182.49169585629775,10.036423786780961,226.7983364187463,0.4651005829529696,1755.3827394526957,205.20682008715752,8.270626612525843,45.66832586226698,472.4520047663911,1.1188004196412455,991.7188179545988
8,-0.3736007511615753,2025-08-28 15:54:27.615931,2025-08-28 15:54:27.617985,183.96481929831384,17.033857183460256,190.86829995333923,0.31322943649272544,1731.9231540145274,188.10185964038158,18.869798326473536,39.243691377601934,385.9232010997644,1.3551363479581378,867.5685744498774
9,-0.3736007511615753,2025-08-28 15:54:27.617985,2025-08-28 15:54:27.620035,173.58119713261587,10.171425958555234,201.8044572071081,0.400483712481218,1710.051991839157,220.66399217295472,11.107230549308888,45.707403059389314,406.53106364484984,1.1923950833178996,1125.9951788198116
10,-0.3736007511615753,2025-08-28 15:54:27.620634,2025-08-28 15:54:27.661558,177.0989403703853,10.884730270370005,171.26956013334052,0.4911558376544924,1546.2970020195012,207.23477350156676,12.713305815806216,17.774687617935303,330.1311925642457,0.8375027886006133,777.0280012815515
11,-0.3736007511615753,2025-08-28 15:54:27.661558,2025-08-28 15:54:27.715956,165.98417391080744,17.673813272197386,185.68347039045494,0.3194907584598675,1663.1701170932843,194.51494180864438,31.056091941531125,25.976112965051946,361.6321180226625,1.4806758486372757,872.9348196518179
12,-0.3736007511615753,2025-08-28 15:54:27.715956,2025-08-28 15:54:27.759419,186.55132565393208,18.11438323848867,206.80369971696732,0.363380057875787,1558.171323211414,214.10441185394063,13.875253942769367,38.86293250222334,396.93022457859615,1.4041652696987792,875.1092949513792
13,-0.4172752797603607,2025-08-28 15:54:27.759419,2025-08-28 15:54:27.799378,185.08884598915796,16.386716460530877,183.1078032675929,0.43503593334530144,1738.3900647268485,187.66831807564293,3.5865996162022835,23.57088756129412,554.4627203113474,1.0343390891461914,830.6729050446015
