trial_number,value,datetime_start,datetime_complete,param_Ore,param_WaterMill,param_WaterZumpf,param_PressureHC,param_DensityHC,param_MotorAmp,param_Shisti,param_Daiki,param_PulpHC,param_PumpRPM
0,49.38919448852539,2025-08-21 10:26:51.572489,2025-08-21 10:26:51.574325,187.03261371715746,11.16144886021193,235.295811146207,0.30060277531538315,1630.4959161159986,181.8236223059926,24.994039557482846,38.50484139473103,420.4376256001598,809.378272752002
1,49.35067367553711,2025-08-21 10:26:51.574325,2025-08-21 10:26:51.576816,192.38362574496475,7.265239773233381,217.55529817200897,0.40690550828166916,1731.2314939191451,182.54405954770397,28.42090376832047,47.17768896947534,330.8660434405181,1073.6164957691847
2,49.25226593017578,2025-08-21 10:26:51.576816,2025-08-21 10:26:51.579322,195.7968741016515,13.360908494255796,191.80778491239406,0.46681929368545827,1714.599285352123,170.27486322757437,30.643384505136126,47.926686624568966,343.6732590621264,791.3994368591179
3,48.74989700317383,2025-08-21 10:26:51.579322,2025-08-21 10:26:51.580842,173.8167084338914,15.434278492806712,235.6232818103668,0.29590417522767937,1592.9528768315877,228.8999417371714,10.951583683957168,39.69705947280935,339.8038569327116,1049.7111931087275
4,50.39569091796875,2025-08-21 10:26:51.580842,2025-08-21 10:26:51.583375,169.25431406249126,15.69152369730789,174.47121031717847,0.46865261519408163,1796.3064694380269,231.62319509466528,11.674702818294556,31.786890192308036,425.9953161647035,752.9040843989454
5,48.60559844970703,2025-08-21 10:26:51.583877,2025-08-21 10:26:51.584879,187.26752911713783,18.00828360096423,236.55318696535352,0.31128024268337745,1641.9013729552055,173.27666272331896,25.295545264845067,15.087083839882256,422.8830015784256,1014.7582283876385
6,47.82904815673828,2025-08-21 10:26:51.585882,2025-08-21 10:26:51.587882,188.36688514744307,17.11106886770964,199.41096496714124,0.3197144225743332,1787.6926857459384,199.30583781450207,19.37261904099852,27.442137489918327,558.0723684173576,1145.060674800778
7,49.35067367553711,2025-08-21 10:26:51.587882,2025-08-21 10:26:51.589385,195.66375371417917,8.403762865686854,189.8738891274182,0.44298004792150203,1720.716284392838,218.1228593610914,22.010425162449984,42.96081237361232,342.90648551409373,852.5945936992689
8,49.25226593017578,2025-08-21 10:26:51.589385,2025-08-21 10:26:51.591902,185.4839048489912,13.169171266775887,210.60832478088355,0.4712421435760261,1729.2025501645949,181.27661262855727,9.371251289219574,46.1940079165135,340.2107779332538,993.5939615750937
9,50.03120422363281,2025-08-21 10:26:51.591902,2025-08-21 10:26:51.594413,185.06762020880518,6.694197244869898,175.23581321373138,0.4816738128409088,1609.9616247010188,221.8072300821844,4.84271653759439,46.82558887684678,496.68598364840153,848.4279591432874
10,50.46963882446289,2025-08-21 10:26:51.594413,2025-08-21 10:26:51.626062,164.4845769789302,15.61826145804815,173.2109088141918,0.5142563648661026,1853.5135663184444,206.60903792114985,13.764014936181352,29.590320520487218,488.28231883872394,918.8901439627953
11,50.46963882446289,2025-08-21 10:26:51.626062,2025-08-21 10:26:51.657233,164.2837128370031,15.413469589215289,170.54304765772147,0.5175356641623666,1859.4386822418146,205.49584691076484,14.153904340707467,28.308108622101244,479.2475093788986,923.9165398623459
12,50.46963882446289,2025-08-21 10:26:51.657233,2025-08-21 10:26:51.689438,164.2032062192934,15.270177866655168,169.49048713007468,0.5184019490737427,1849.5490817472155,203.20959913799302,15.17029551566854,22.712699659263638,491.8862975499009,921.599927104981
13,50.184295654296875,2025-08-21 10:26:51.689438,2025-08-21 10:26:51.721128,164.08338022645643,11.907145315796539,183.67575650167154,0.5191916340834246,1858.3186924146823,205.9487625781817,15.857718679852184,31.536199466409194,484.7038416935407,917.0576487389584
14,49.997615814208984,2025-08-21 10:26:51.721128,2025-08-21 10:26:51.752178,175.99775572078306,14.618891400188819,181.26454457703545,0.39457097597193946,1540.511803269279,193.51220359166516,6.402505597351674,22.60812075288745,537.865815424754,963.3185886898606
