trial_number,value,datetime_start,datetime_complete,param_Ore,param_WaterMill,param_WaterZumpf,param_PressureHC,param_DensityHC,param_MotorAmp,param_Shisti,param_Daiki,param_PulpHC,param_PumpRPM,param_Grano,param_Class_12,param_Class_15
0,27.830379486083984,2025-08-21 10:52:26.706806,2025-08-21 10:52:26.710749,185.3508451847921,7.809612171975068,207.41220493840842,0.4185270479370267,1802.175768197861,228.44817806719297,9.799371500606018,29.637045543668115,495.31758844342403,1089.3481234947594,57.04175665058517,9.777097741366152,1.0361300020715514
1,162.66860961914062,2025-08-21 10:52:26.711254,2025-08-21 10:52:26.716406,186.05989300549368,9.905368495834887,232.3965328450144,0.35124641691943387,1743.6713614121463,209.2661810010328,15.504643648933822,40.28125581240402,392.7942830554417,1111.7981319565108,41.91960616025994,5.47254729644902,1.3135190601961304
2,27.00189781188965,2025-08-21 10:52:26.717413,2025-08-21 10:52:26.724598,176.75061610541894,10.06891584346521,205.4761170872231,0.4803768015935506,1642.248414222347,176.27394135662422,25.903492954755897,17.378900886361542,419.7546764447426,785.0344118927268,54.42943928425251,6.746608189889127,0.9154158509754837
3,27.805116653442383,2025-08-21 10:52:26.724598,2025-08-21 10:52:26.727163,168.08317393647988,10.39041252963563,220.46466003328538,0.4303259380500228,1817.6456082942213,172.69780711807212,31.172892148799562,42.79167280471192,401.26876396103114,791.9133225305013,49.41691749904193,13.145607623838016,1.7475970941827212
4,27.830379486083984,2025-08-21 10:52:26.728724,2025-08-21 10:52:26.731749,171.25478462863043,13.197919104168564,190.82865891164707,0.4704198875382798,1775.6450087184382,230.40933400833973,4.02524769223754,23.312464528258225,474.96746322018447,847.9504556188126,67.22856516097488,9.604490004621251,1.6958870387705858
5,269.4923095703125,2025-08-21 10:52:26.732755,2025-08-21 10:52:26.737322,174.3815668641082,9.59809798339304,205.97996752297513,0.3560517275136011,1589.7376023283382,213.9286473984016,25.881461431497616,51.945144577267854,490.663544867406,1000.2424260244851,62.026507900841835,8.844287549458441,1.9204683155937463
6,27.830379486083984,2025-08-21 10:52:26.737322,2025-08-21 10:52:26.741846,169.9137364643194,13.897470027422088,210.03314819949483,0.284628406163234,1815.2237177707045,229.76089504843617,12.328302663618555,27.60199476576902,498.846255288521,891.1168956097519,46.78240459150132,6.640276174800059,0.9684457008776124
7,269.467041015625,2025-08-21 10:52:26.741846,2025-08-21 10:52:26.744863,184.33486205409835,9.023258416748277,182.96041151994868,0.4086993659095617,1664.660176878686,170.53936538113476,30.550483708379222,39.55739829198848,372.48845490183777,1009.2819340454287,71.76493970367757,12.309956456636478,1.6052049456048771
8,269.467041015625,2025-08-21 10:52:26.745862,2025-08-21 10:52:26.748880,164.60807375186388,10.575287031125807,236.16946071585073,0.38466212522778503,1574.3447540404047,187.73214797901747,4.358156691992853,33.633264098314925,516.0236497877553,1118.83630292412,51.07700812284172,10.75168558669318,0.824064224357555
9,27.805116653442383,2025-08-21 10:52:26.750434,2025-08-21 10:52:26.757246,194.57532232231415,7.31662081105517,236.70023053440468,0.3362453424622055,1759.9511333429618,204.57068474484691,25.76340972265642,44.31195928516834,436.2500748865199,828.5399769103885,59.895130486954415,9.413948264502752,1.247261831953602
10,269.4923095703125,2025-08-21 10:52:26.757763,2025-08-21 10:52:26.829225,178.1577665338243,16.996034153318433,193.2984885227785,0.28696911848290363,1556.2771493979528,213.95853004911046,22.594621723184332,51.43134818494283,567.8121141521443,981.0657604890356,35.332443945067176,8.26379924448219,2.246442196543476
11,269.4923095703125,2025-08-21 10:52:26.830795,2025-08-21 10:52:26.895009,177.63234370135967,17.674958248781422,192.22434874814405,0.29959465600519686,1558.7187465899015,214.30779681920743,21.357387256490384,54.75111206341251,561.2243298425884,970.936102393189,36.02354349051902,8.02893301307579,2.1560104509700087
12,269.4923095703125,2025-08-21 10:52:26.895009,2025-08-21 10:52:26.963665,174.94994112598908,17.925785430609775,176.2221855286029,0.3292251220632299,1596.0314757802305,216.69968078975734,21.111441214383525,51.88368789190997,556.4089071894041,1027.5055495012684,63.37806332107088,8.235227169145318,2.28282342585749
13,269.467041015625,2025-08-21 10:52:26.964669,2025-08-21 10:52:27.020361,181.86978724200515,15.435988402688555,194.73913333611537,0.3733979857610907,1627.8638016619186,192.19567857460424,23.69223406293078,48.273996411123846,342.80000955158596,919.6479955824666,36.71140794960696,11.221557850147937,2.012518351596211
14,27.830379486083984,2025-08-21 10:52:27.020361,2025-08-21 10:52:27.076077,190.79978060724937,15.625547614164613,169.05000414902327,0.3118118810018487,1686.7977341871635,219.4068760980413,19.717157300986184,48.62507111382727,532.8578219882719,1028.9665356130245,74.65779091098787,8.311167875192131,1.919903482818232
15,27.00189781188965,2025-08-21 10:52:27.076077,2025-08-21 10:52:27.127873,174.4723065639399,11.996688830922249,220.46431869844548,0.368273923320789,1545.9290258096141,198.50883161704115,26.635553148067334,54.54330770015704,463.6705330408427,964.4988060088355,65.45136951416201,6.715981234628634,1.9824723085448317
16,269.4923095703125,2025-08-21 10:52:27.127873,2025-08-21 10:52:27.178734,180.43764395096215,15.587355960350974,198.10631075703571,0.5130303604262091,1605.5583081826298,220.1416041386953,15.752266074743355,48.01051568777293,532.4340805131125,1071.2194927704686,43.951327015395,8.801092009462304,2.260051779350248
17,27.830379486083984,2025-08-21 10:52:27.179738,2025-08-21 10:52:27.229105,173.00010006833418,11.774314451937453,219.426261425046,0.2835149400244417,1718.100058499,206.88550190702892,29.176574713140575,36.23241873725816,479.35926668933877,906.9027641820331,60.34453489397106,10.599642051628596,1.837365742888177
18,27.00189781188965,2025-08-21 10:52:27.229105,2025-08-21 10:52:27.277470,178.84029923963266,14.553153606479887,183.79949860346719,0.32166275488732793,1541.2764721678768,196.42664314117891,18.813007516127,45.339822186937724,568.1513125694912,997.7102969690069,53.671591904878525,7.402477171161039,1.4600205152584749
19,63.78138732910156,2025-08-21 10:52:27.277470,2025-08-21 10:52:27.329445,165.81432364734297,8.623754330215068,214.21747799357703,0.34968629705995197,1591.2604275511283,223.32561686369323,23.053283454039804,50.59640689178531,445.3148641244721,1058.4717006168503,39.93759801871844,5.1434769470326165,2.098558199866005
20,269.4923095703125,2025-08-21 10:52:27.330449,2025-08-21 10:52:27.380357,182.31402823519807,17.15270318659053,196.83495301718241,0.4511253237724174,1629.3640375835696,212.9388682427641,28.069757704114778,37.53720569423479,527.7704937287747,929.3191081751935,69.29505603308866,11.537981764164371,2.1033617383502676
21,269.4923095703125,2025-08-21 10:52:27.380357,2025-08-21 10:52:27.432760,177.9996560206732,18.32131184242675,186.18802152034667,0.30315230851780206,1565.311034601688,213.3401103989739,22.654336235735617,54.816196369722014,550.7581862559538,971.9067820300288,35.89174940333717,7.718509306494614,2.1802994827782634
22,27.830379486083984,2025-08-21 10:52:27.434262,2025-08-21 10:52:27.488253,175.9426511670097,16.73955404528487,201.026890588389,0.3023137522376912,1859.5829283277524,205.24969471124632,17.033023501829884,52.05501930916971,565.5850696599869,975.5642568100337,39.042190214106846,8.926947944152063,2.293779771435393
23,27.02716064453125,2025-08-21 10:52:27.488253,2025-08-21 10:52:27.542151,172.41433660741876,17.208596489973083,192.154443423279,0.28505724642942415,1570.4892139541264,224.08634428615326,20.64979036663949,54.76602625939164,508.23524120793365,947.0023329639988,46.6670107333954,7.684206094844729,1.8669692040396866
24,269.4923095703125,2025-08-21 10:52:27.542151,2025-08-21 10:52:27.595888,189.22851541490775,16.577717722044348,188.75162025426874,0.3463285002830843,1611.9766418242111,211.77960074412508,24.73250357643836,48.07641235387544,540.8991004166965,862.4152995024268,36.268640201097064,10.113793134641037,2.107115343174612
25,269.639404296875,2025-08-21 10:52:27.595888,2025-08-21 10:52:27.649356,169.02088090273546,6.573441762989174,202.0253695777165,0.30790616995218517,1660.8873308769428,203.1062931966493,22.125844675404764,45.80789675912827,549.1205720522051,1046.021160490882,42.450315784344596,8.825711110161835,2.004753792517907
26,269.467041015625,2025-08-21 10:52:27.649356,2025-08-21 10:52:27.702303,167.60381475395405,7.273270869685764,201.75629610620777,0.31581370494092964,1659.7151867063292,184.72664675945285,27.855930235832712,44.941365691019115,519.5575771232876,1037.201061480839,43.9141336655577,8.828831285955417,1.7671911300272845
27,27.805116653442383,2025-08-21 10:52:27.702303,2025-08-21 10:52:27.756751,170.4741423732836,6.5263391616371695,213.53080888897006,0.3873402773850406,1706.5885691858177,201.6374154174262,12.967526076250788,41.864498880259724,543.5531077622619,1063.6202199423603,58.88592007473102,5.862461331093797,1.5719608885298721
28,27.00189781188965,2025-08-21 10:52:27.756751,2025-08-21 10:52:27.812614,168.83050797638833,11.067318261732176,202.41693008985823,0.36560871654223326,1670.9519535241616,192.96818912933904,18.12529137216866,51.18827304623165,483.1139667437219,999.1414186214879,63.11081434745473,7.17177922215185,1.995224704371712
29,269.4923095703125,2025-08-21 10:52:27.813617,2025-08-21 10:52:27.868170,173.49767967944035,8.591893520909828,208.66836190372612,0.3335127820645719,1587.6568854770871,223.37744344323633,23.56510170062787,31.963280980190987,504.0363328720077,1085.0521660704987,56.26443011986776,10.091565541810338,1.4291457817912874
30,269.639404296875,2025-08-21 10:52:27.869676,2025-08-21 10:52:27.923643,166.17847183978228,6.508397948292,179.47563576762028,0.2975347594417326,1645.6140376751819,202.10936333810045,8.921750078180324,44.79034430998047,497.99480973675264,1127.6635137632843,40.798473251422635,9.262975197432805,1.955698257305075
31,269.639404296875,2025-08-21 10:52:27.923643,2025-08-21 10:52:27.977173,166.61861924089754,7.875368961139749,178.83941528909438,0.2996916732135912,1638.3192150439015,200.9760926120324,8.591988309882979,46.70437078297479,457.78816655932945,1145.0751364174207,39.654901816986396,8.97220055232718,1.957035353569465
32,269.467041015625,2025-08-21 10:52:27.978676,2025-08-21 10:52:28.036513,166.38682789267122,6.740730711707348,175.3277203738144,0.31869315854752484,1644.4629211798988,201.63368428407435,7.155243410258254,46.377935345453686,464.79334758075225,1139.495326337417,40.99794544985848,9.193525918830963,1.9125997654781586
33,27.830379486083984,2025-08-21 10:52:28.037517,2025-08-21 10:52:28.092377,164.53934130769568,8.153863089588029,179.49317263597786,0.356041069665668,1692.993811550381,207.78727007619068,8.50985750735584,39.61229479653676,429.79499552016244,1149.6783431553208,43.36813060949116,9.82401124119477,1.808169357148126
34,27.97748374938965,2025-08-21 10:52:28.092882,2025-08-21 10:52:28.147353,167.38367399978006,9.2957640017454,228.21504196570606,0.3036737206225111,1730.8395550749397,195.09639154487886,9.906663763024847,15.006604754346146,489.7747133937116,1110.3993183969699,47.19528638090997,8.572278547504908,1.6507482439466594
35,269.467041015625,2025-08-21 10:52:28.148859,2025-08-21 10:52:28.206240,169.39451195469562,7.481797827948359,169.73813663975787,0.3361796327132695,1620.8754235689632,185.97162341534906,12.357190776669226,41.943517989635836,454.2812300326949,1117.8245620164605,39.02423059587371,9.37759217963337,1.172353212906537
36,269.639404296875,2025-08-21 10:52:28.206742,2025-08-21 10:52:28.264991,171.61290108825605,9.453219947088323,174.60260574180433,0.29774992945970974,1646.6149083161574,201.54172451168424,5.766512935546688,43.17177211781347,420.492673579214,1096.633683327853,42.172460892350934,10.293844922306166,2.0228299415314033
37,269.639404296875,2025-08-21 10:52:28.265995,2025-08-21 10:52:28.320254,171.67890966534048,7.905481215534896,174.9083208918462,0.29425341054492754,1654.731181362449,189.98182267149787,5.950453293434395,42.65467403905,415.1904350990344,1097.1428619066232,50.575852808923145,10.404881135591204,1.7162928344196395
38,269.639404296875,2025-08-21 10:52:28.320254,2025-08-21 10:52:28.376161,166.29140551132053,6.88026280762085,180.03602794177382,0.30963163714766373,1644.2173511562066,199.62571972260002,10.89606887835349,38.2255618423549,402.34412014366154,1135.6783014960372,41.69733974538572,11.894463025051055,2.0512427570579415
39,31.43381118774414,2025-08-21 10:52:28.376687,2025-08-21 10:52:28.431626,170.69990411585422,8.219112054268011,172.50649475508362,0.433062523130177,1681.6558130254698,181.66499812074343,6.5710950435096915,43.88142410461817,383.4701765984027,1090.5595725032983,46.044414999751275,13.449783965694461,1.5257901057353287
40,269.4923095703125,2025-08-21 10:52:28.431626,2025-08-21 10:52:28.487195,168.54143193837265,9.833096812427653,179.91597818276028,0.32474434974600785,1675.0438192179138,209.00697946627298,14.171771071493735,27.061527449534843,416.30079133394497,1126.7969316817575,38.06509479691103,11.031045107570444,2.191383004820435
41,269.639404296875,2025-08-21 10:52:28.488201,2025-08-21 10:52:28.546587,171.83969818900408,7.769155749305169,175.01184340211026,0.2965293404686633,1652.1121946123512,191.1192373406337,4.757972362737567,41.842877714736254,416.41589401342435,1099.1439438320563,50.93469022219107,10.419763410758774,1.705941646498202
42,269.639404296875,2025-08-21 10:52:28.547591,2025-08-21 10:52:28.604289,164.0694062625142,7.945215246204362,188.03413862531337,0.29330201241344195,1636.2561166642909,203.74227754159264,6.301585557232519,46.72097578339064,399.8218151193145,1046.8001664466374,48.88961943863673,9.788363393748982,1.9472644871493754
43,27.97748374938965,2025-08-21 10:52:28.604289,2025-08-21 10:52:28.663725,171.3042141921818,8.946302682120397,182.5004560993206,0.2836604009883159,1702.0979016714214,177.94687654318273,8.380455897544941,43.141371054025775,372.8479363507125,1081.6445742788492,42.86935818504848,10.32081635870858,1.7425563920065823
44,269.639404296875,2025-08-21 10:52:28.663725,2025-08-21 10:52:28.724224,165.79575130854533,7.183045878593822,172.9049721332755,0.28077841674767595,1658.2735845123261,197.57242353753816,5.097359089128176,40.33489759760748,428.4380864306439,1106.4968047826949,45.1483871042677,12.63404484438716,1.8207277659005878
45,269.639404296875,2025-08-21 10:52:28.724224,2025-08-21 10:52:28.784048,169.61231173282317,6.590413252690404,177.66989620685797,0.2951604864713093,1616.0809227051354,190.45400203898845,3.5519959242206705,33.81079473325196,448.95352890887386,1127.825895401014,41.32789731291688,9.660635041197924,2.0539438547033084
46,269.639404296875,2025-08-21 10:52:28.784048,2025-08-21 10:52:28.845033,167.57927819637095,10.814591195030841,240.96742735366814,0.30745179530263334,1660.9488327012673,202.08793487581107,9.001239234787828,49.69937968785059,467.4629060175486,1143.7011625339114,49.42244100217601,9.19768201697076,1.8785024010538576
47,269.467041015625,2025-08-21 10:52:28.845033,2025-08-21 10:52:28.901960,176.36368910167994,7.679181091619304,185.15578204063874,0.3428312873253985,1642.8637469238784,194.92900834817067,11.084891765996694,45.7973366438712,411.02682704567326,1102.8207293709577,53.1718969441672,10.998333930138156,1.6301515634664678
48,27.805116653442383,2025-08-21 10:52:28.902964,2025-08-21 10:52:28.964812,173.47122114513945,10.13951716185127,172.91801472529485,0.32657844604312025,1753.6303286754687,168.1511296800904,5.550161719245272,21.37267242842903,435.15329743644816,1078.506651686891,37.715624636859275,11.867562697209737,0.7376680896833536
49,31.459074020385742,2025-08-21 10:52:28.965315,2025-08-21 10:52:29.028787,165.39997746208482,9.507941636748479,181.43955912123454,0.316698939814305,1681.4105319931728,205.28579816599543,8.276002835038849,40.576425947820354,355.28667487668594,752.9545760093093,40.44647987149514,10.03612633839927,1.3804129307350226
